,y_pred
0,7.4260573387146
1,7.274691581726074
2,7.756402015686035
3,7.337355136871338
4,7.594890594482422
5,7.5774455070495605
6,7.204091548919678
7,7.6688947677612305
8,7.638908386230469
9,7.262145042419434
10,5.355030059814453
11,7.486840724945068
12,7.486435890197754
13,7.43022346496582
14,7.022549629211426
15,7.488246917724609
16,7.182631969451904
17,6.991787433624268
18,7.4370880126953125
19,7.440658092498779
20,7.245262622833252
21,6.390120506286621
22,7.504232883453369
23,7.84161376953125
24,7.089510917663574
25,6.9950175285339355
26,7.196657657623291
27,7.455753326416016
28,7.574062347412109
29,6.974249362945557
30,7.146851062774658
31,5.674709320068359
32,7.433928966522217
33,8.11905574798584
34,6.9584832191467285
35,7.679048538208008
36,7.5232367515563965
37,7.5302228927612305
38,7.388711452484131
39,5.776144981384277
40,7.53463077545166
41,7.531311511993408
42,7.7102580070495605
43,7.75400972366333
44,7.474313735961914
45,8.019786834716797
46,7.492789268493652
47,5.729867935180664
48,7.106013774871826
49,7.587705612182617
50,5.5401692390441895
51,7.662326335906982
52,6.358733654022217
53,7.381386756896973
54,6.755496978759766
55,6.759744644165039
56,7.804368019104004
57,6.592564105987549
58,7.5848069190979
59,7.483139514923096
60,7.701594829559326
61,6.682830333709717
62,6.971798896789551
63,6.108975887298584
64,7.381650924682617
65,7.849153995513916
66,6.773589611053467
67,6.485081195831299
68,7.0399675369262695
69,6.759489059448242
70,7.220155239105225
71,5.200451850891113
72,7.978814125061035
73,7.061840534210205
74,7.553868293762207
75,7.675488471984863
76,7.9393839836120605
77,7.789085388183594
78,7.278310775756836
79,7.595548629760742
80,7.23643684387207
81,7.43619441986084
82,5.876426696777344
83,7.130011558532715
84,7.498973369598389
85,7.7490997314453125
86,7.900940895080566
87,7.874016284942627
88,7.108381748199463
89,7.139214038848877
90,5.0740838050842285
91,5.706872463226318
92,7.777043342590332
93,7.199182033538818
94,7.677934169769287
95,8.657958984375
96,6.229179859161377
97,7.4604339599609375
98,7.82227087020874
99,7.432008266448975
100,7.455349922180176
101,7.678065776824951
102,7.727292060852051
103,5.4393792152404785
104,7.276282787322998
105,6.003982067108154
106,7.739872455596924
107,7.6424946784973145
108,6.471792697906494
109,6.431970119476318
110,7.3458733558654785
111,7.221959114074707
112,4.617587566375732
113,7.471782684326172
114,6.326823711395264
115,7.136834144592285
116,7.352651596069336
117,7.607479095458984
118,5.797668933868408
119,7.553139686584473
120,6.099889755249023
121,8.135775566101074
122,7.6773834228515625
123,7.974971294403076
124,7.633333206176758
125,6.43118143081665
126,7.590716361999512
127,5.430499076843262
128,6.841899871826172
129,7.26915979385376
130,7.203762531280518
131,8.283143043518066
132,7.553628921508789
133,6.727376461029053
134,7.301602363586426
135,7.5430097579956055
136,7.488025665283203
137,6.16935396194458
138,7.644477844238281
139,7.43984842300415
140,7.296265125274658
141,7.397028923034668
142,7.410885810852051
143,7.946374416351318
144,8.028399467468262
145,7.521331787109375
146,7.649303913116455
147,7.038202285766602
148,7.801656723022461
149,6.054614543914795
150,7.3041887283325195
151,6.803462505340576
152,7.641876220703125
153,7.619584083557129
154,8.071825981140137
155,7.338000297546387
156,7.397676467895508
157,6.882905960083008
158,5.193593502044678
159,8.077410697937012
160,7.350961685180664
161,6.762158393859863
162,7.563621520996094
163,7.649477958679199
164,7.520256996154785
165,7.604930877685547
166,8.389241218566895
167,7.476330280303955
168,7.077681064605713
169,7.748054027557373
170,7.489157199859619
171,7.6820387840271
172,7.216811656951904
173,6.7150983810424805
174,7.068741321563721
175,7.882196426391602
176,7.624911785125732
177,5.625070095062256
178,6.721706390380859
179,7.706186771392822
180,5.211944103240967
181,7.9140625
182,7.738098621368408
183,5.75937032699585
184,7.541633605957031
185,7.406246662139893
186,5.282834529876709
187,7.044874668121338
188,7.69303560256958
189,7.2161359786987305
190,7.447552680969238
191,7.654768943786621
192,7.605747699737549
193,7.453647136688232
194,7.839015007019043
195,6.5980401039123535
196,6.887609481811523
197,7.43960428237915
198,7.311595439910889
199,7.2237229347229
200,7.308055877685547
201,8.082679748535156
202,7.557624816894531
203,7.210907936096191
204,7.8836350440979
205,7.588515758514404
206,7.156088829040527
207,7.377435684204102
208,7.562737464904785
209,6.9611897468566895
210,6.999654769897461
211,7.565704822540283
212,7.753671646118164
213,7.349802017211914
214,7.423312664031982
215,7.869962692260742
216,7.830430507659912
217,7.642645835876465
218,7.607346057891846
219,6.407082557678223
220,8.024757385253906
221,8.302377700805664
222,7.488627910614014
223,7.0854973793029785
224,4.35106897354126
225,7.306082725524902
226,7.695633411407471
227,6.018115043640137
228,7.882491111755371
229,4.2410569190979
230,7.170696258544922
231,7.478106498718262
232,7.592418193817139
233,7.7776875495910645
234,6.6328887939453125
235,7.93726921081543
236,7.047682762145996
237,7.826188087463379
238,7.5068793296813965
239,6.820343971252441
240,6.372147083282471
241,7.436856746673584
242,7.496755599975586
243,6.5687761306762695
244,7.854710578918457
245,7.349624156951904
246,7.838569641113281
247,7.821354866027832
248,6.992587089538574
249,6.5858154296875
250,7.636590003967285
251,7.14958381652832
252,7.20092248916626
253,7.384937286376953
254,7.433129787445068
255,8.3369140625
256,7.645263671875
257,7.546210765838623
258,6.036584377288818
259,7.512899875640869
260,7.880392074584961
261,6.4867939949035645
262,7.548777103424072
263,7.518817901611328
264,8.036728858947754
